Title,Year,Language,Day1_collection_cr
Selfiee,2023,Hindi,2.55
Great Grand Masti,2016,Hindi,2.5
Mere Desh Ki Dharti,2022,Hindi,0.5
Rashtra Kavach Om,2022,Hindi,1.5
Andhadhun,2018,Hindi,2.7
Mr. & Mrs. Mahi,2024,Hindi,6.85
Nikamma,2022,Hindi,0.45
Chhaava,2025,Hindi,33.1
Jigra,2024,Hindi,4.55
Gali Guleiyan,2018,Hindi,0.05
Adipurush,2023,Hindi,36
Tu Jhoothi Main Makkaar,2023,Hindi,15.73
Bell Bottom,2021,Hindi,2.75
Sarfira,2024,Hindi,2.5
Operation Valentine,2024,Hindi,0.25
Akelli,2023,Hindi,0.3
Kesari,2019,Hindi,21.06
Yaatris,2023,Hindi,0.03
Dear Dad,2016,Hindi,0.13
October,2018,Hindi,4.25
Mahavatar Narsimha,2025,Hindi,1.46
Bheed,2023,Hindi,0.4
Nawabzaade,2018,Hindi,0.5
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,2.9
Tu Hai Mera Sunday,2017,Hindi,0.19
Tumko Meri Kasam,2025,Hindi,0.5
Coffee with D,2017,Hindi,0.15
Merry Christmas,2024,Hindi,2.3
Ajmer 92,2023,Hindi,1
Mitron,2018,Hindi,0.5
Saina,2021,Hindi,0.15
Game Over,2017,Hindi,0.03
Kedarnath,2018,Hindi,6.85
Emergency,2025,Hindi,2
3 Storeys,2018,Hindi,0.35
Metro... In Dino,2025,Hindi,4.05
Trahimam,2022,Hindi,0.005
102 Not Out,2018,Hindi,3.52
Commando 3,2019,Hindi,4.74
Evening Shadows,2019,Hindi,0.02
Noor,2017,Hindi,0.02
Do Aur Do Pyaar,2024,Hindi,0.6
Lakadbaggha,2023,Hindi,0.11
Baar Baar Dekho,2016,Hindi,6.81
5 Weddings,2018,Hindi,0.36
Mere Husband Ki Biwi,2025,Hindi,1.5
I Want to Talk,2024,Hindi,0.2
Bharat,2019,Hindi,42.3
Parched,2016,Hindi,0.12
Pal Pal Dil Ke Paas,2019,Hindi,1.15
Ram Setu,2022,Hindi,15.25
Haseena Parkar,2017,Hindi,1.87
Chhichhore,2019,Hindi,7.32
Ittefaq,2017,Hindi,0.36
Main Atal Hoon,2024,Hindi,1.15
Jersey,2022,Hindi,2.93
Mardaani 2,2019,Hindi,3.8
Mission Raniganj,2023,Hindi,2.8
Kooki,2024,Hindi,0.01
Sky Force,2025,Hindi,15.3
Zero Se Restart,2024,Hindi,0.06
Nishaanchi,2025,Hindi,0.2
Milan Talkies,2019,Hindi,0.1
Nazar Andaaz,2022,Hindi,0.001
Luka Chuppi,2019,Hindi,8.01
Bhool Chuk Maaf,2025,Hindi,7.2
Maarrich,2022,Hindi,0.05
Beiimaan Love,2016,Hindi,0.7
Sonu Ke Titu Ki Sweety,2018,Hindi,6.42
Partition: 1947,2017,Hindi,0.11
Kaagaz 2,2024,Hindi,0.08
Jia aur Jia,2017,Hindi,0.13
Azhar,2016,Hindi,6.3
Yamla Pagla Deewana: Phir Se,2018,Hindi,1.75
The Bengal Files,2025,Hindi,1.5
Tera Intezaar,2017,Hindi,0.5
Wah Taj,2016,Hindi,0.09
Neerja,2016,Hindi,4.7
Ganapath,2023,Hindi,2.2
Housefull 4,2019,Hindi,16.5
Double XL,2022,Hindi,0.15
Bad Newz,2024,Hindi,8.62
Fanney Khan,2018,Hindi,2.15
Mercury,2018,Hindi,0.32
Freaky Ali,2016,Hindi,2.55
Ground Zero,2025,Hindi,1.15
Jahangir National University,2024,Hindi,0.25
Tipppsy,2024,Hindi,0.08
Haathi Mere Saathi,2021,Hindi,3.5
Maidaan,2024,Hindi,7.25
Zubaan,2016,Hindi,0.39
Dhanak,2016,Hindi,0.29
Dongri Ka Raja,2016,Hindi,0.27
Chicken Curry Law,2019,Hindi,0.11
Heropanti 2,2022,Hindi,6.5
Pranaam,2019,Hindi,0.21
Siya,2022,Hindi,0.2
Vikram Vedha,2022,Hindi,10.58
Manmarziyaan,2018,Hindi,3.52
Jewel Thief,2025,Hindi,1.75
Mission Grey House,2025,Hindi,0.02
A Flying Jatt,2016,Hindi,7.1
Veerey Ki Wedding,2018,Hindi,0.75
Toilet: Ek Prem Katha,2017,Hindi,13.1
War,2019,Hindi,53.35
Airlift,2016,Hindi,12.35
Farrey,2023,Hindi,0.31
Chakallaspur,2017,Hindi,0.001
31st October,2016,Hindi,0.1
Tubelight,2017,Hindi,21.15
Fighter,2024,Hindi,24.6
Hai Apna Dil Toh Awara,2016,Hindi,0.04
Paltan,2018,Hindi,1.28
Commando 2,2017,Hindi,5.14
Housefull 5,2025,Hindi,24.35
Dhadak,2018,Hindi,8.71
Aiyaary,2018,Hindi,3.36
Dukaan,2024,Hindi,0.18
Hamid,2019,Hindi,0.01
Phule,2025,Hindi,0.25
Hope Aur Hum,2018,Hindi,0.12
The Fakir of Venice,2019,Hindi,0.04
Heer Express,2025,Hindi,0.35
Moh Maya Money,2016,Hindi,0.25
Jogira Sara Ra Ra,2023,Hindi,0.3
Running Shaadi,2017,Hindi,0.15
Photograph,2019,Hindi,0.25
Joram,2023,Hindi,0.4
Waarrior Savitri,2016,Hindi,0.01
Fraud Saiyaan,2019,Hindi,0.11
Jab Harry Met Sejal,2017,Hindi,15.25
Rukh,2017,Hindi,0.1
Yeh Hai India,2019,Hindi,0.001
Mantostaan,2017,Hindi,0.07
Aligarh,2016,Hindi,0.31
Tiger 3,2023,Hindi,44.5
Golmaal Again,2017,Hindi,30.14
Begum Jaan,2017,Hindi,0.02
Super 30,2019,Hindi,11.83
Sukhee,2023,Hindi,0.25
Junooniyat,2016,Hindi,0.4
Love Ke Funday,2016,Hindi,0.01
Cash,2021,Hindi,3.73
Raid,2018,Hindi,10.04
Bhool Bhulaiyaa 2,2022,Hindi,14.11
Mom,2017,Hindi,2.9
Jacqueline I Am Coming,2019,Hindi,0.01
Bajrang Aur Ali,2024,Hindi,0.24
Ishqeria,2018,Hindi,0.04
Race 3,2018,Hindi,28.5
Dono,2023,Hindi,0.7
Raazi,2018,Hindi,7.53
Julie 2,2017,Hindi,1.4
Uunchai,2022,Hindi,1.81
Afwaah,2023,Hindi,0.3
Doctor G,2022,Hindi,3.87
G Kutta Se,2017,Hindi,0.03
Bunty Aur Babli 2,2021,Hindi,2.6
Bombairiya,2019,Hindi,0.02
Shivaay,2016,Hindi,10.24
Kalank,2019,Hindi,21.6
The Body,2019,Hindi,0.66
Befikre,2016,Hindi,10.36
Toolsidas Junior,2022,Hindi,0.01
Student of the Year 2,2019,Hindi,12.06
Sanju,2018,Hindi,34.75
Sajini Shinde Ka Viral Video,2023,Hindi,0.06
83,2021,Hindi,12.64
Kaagaz,2021,Hindi,0.005
Maassab,2021,Hindi,0.04
Kissebaaz,2019,Hindi,0.14
Kahan Shuru Kahan Khatam,2024,Hindi,0.93
Jolly LLB 3,2025,Hindi,12.5
Ghayal: Once Again,2016,Hindi,7.2
Sandeep Aur Pinky Faraar,2021,Hindi,0.06
Project Marathwada,2016,Hindi,0.03
Sikandar,2025,Hindi,0.5
Hukus Bukus,2023,Hindi,0.04
Pride,2024,Hindi,0.005
The Zoya Factor,2019,Hindi,0.7
Hume Tumse Pyaar Kitna,2019,Hindi,0.05
Naam,2024,Hindi,0.08
Mirzya,2016,Hindi,2.2
Kisi Ka Bhai Kisi Ki Jaan,2023,Hindi,15.81
Drishyam 2,2022,Hindi,15.38
Shaila,2025,Hindi,0.03
Global Baba,2016,Hindi,0.07
Ishq Click,2016,Hindi,0.05
Rock On 2,2016,Hindi,2.02
Dedh Lakh Ka Dulha,2022,Hindi,0.01
Tu Meri Poori Kahani,2025,Hindi,0.08
Pataakha,2018,Hindi,0.8
Goldfish,2023,Hindi,0.1
7 Hours To Go,2016,Hindi,0.45
Ladki: Dragon Girl,2022,Hindi,0.02
Judgementall Hai Kya,2019,Hindi,4.5
Bhediya,2022,Hindi,7.48
Pathaan,2023,Hindi,57
The Sky Is Pink,2019,Hindi,2.5
Bhool Bhulaiyaa 3,2024,Hindi,36.6
The Lady Killer,2023,Hindi,0.003
Monsoon Shootout,2017,Hindi,0.6
Vodka Diaries,2018,Hindi,0.3
Genius,2018,Hindi,0.65
Rocket Gang,2022,Hindi,0.25
Shaadi Teri Bajayenge Hum Band,2018,Hindi,0.12
The Final Exit,2017,Hindi,0.1
Badhaai Do,2022,Hindi,1.65
Kill,2024,Hindi,1.35
Dil Juunglee,2018,Hindi,0.35
Hamare Baarah,2024,Hindi,0.17
Baadshaho,2017,Hindi,12.6
Pink,2016,Hindi,4.32
Bhanwarey,2017,Hindi,0.001
Dhak Dhak,2023,Hindi,0.8
Gurgaon,2017,Hindi,0.46
Battalion 609,2019,Hindi,0.01
A Gentleman,2017,Hindi,4.04
Article 15,2019,Hindi,5.02
Jaat,2025,Hindi,9.62
Bachchhan Paandey,2022,Hindi,13.25
Ye Mard Bechara,2021,Hindi,0.04
Gangubai Kathiawadi,2022,Hindi,10.5
India's Most Wanted,2019,Hindi,2.1
Kapkapiii,2025,Hindi,0.2
Jalebi,2018,Hindi,0.5
Article 370,2024,Hindi,6.12
Dashmi,2024,Hindi,0.05
Fever,2016,Hindi,0.01
Rangoon,2017,Hindi,5.05
A Scandall,2016,Hindi,0.06
Aakhir Kab Tak,2016,Hindi,0.01
Naam Shabana,2017,Hindi,5.12
