Day1_collection_cr,Production_House_Score,Director_Score,Runtime (min),Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,avg_sentiment,median_sentiment
2.93,34.52374557,15.63074913,170,2022,4,4,18,0,0,0,0,0,0,1,0.3406,0.5106
3.8,100,15.63074913,105,2019,12,4,29,0,0,1,0,0,1,0,0.4281,0.5783
2.8,34.52374557,15.63074913,138,2023,10,4,11,0,0,0,1,0,0,1,0.4065,0.62235
15.3,72.76391152,15.63074913,125,2025,1,4,7,0,0,1,0,0,0,1,0.4658,0.6369
0.2,34.52374557,15.63074913,176,2025,9,4,16,1,0,1,0,0,0,0,0.4152,0.50055
0.15,34.52374557,15.63074913,141,2019,3,4,11,1,0,0,0,0,0,0,0.6009,0.67765
0.001,39.87847455,15.63074913,103,2022,10,4,0,1,1,0,0,0,0,0,0.45808,0.59273
8.01,58.78836239,29.96244531,126,2019,3,4,36,0,1,0,0,1,0,0,0.32358,0.37776
0.7,34.52374557,15.63074913,120,2016,10,4,42,1,0,0,0,0,1,0,0.4202,0.51045
6.42,39.87847455,15.63074913,140,2018,2,4,0,1,1,0,0,0,0,0,0.43666,0.48871
10.43,40.56749372,15.63074913,106,2017,8,4,50,1,0,0,0,0,0,0,0.2145,0.2846
0.02,34.52374557,15.63074913,125,2024,3,4,1163,1,0,0,0,0,0,1,0.6099,0.7935
2.9,34.52374557,15.63074913,92,2017,10,4,30,1,0,0,0,0,0,0,0.4444,0.5719
1.5,34.52374557,15.63074913,204,2025,9,4,85,1,0,0,0,0,0,1,0.4065,0.49875
0.5,34.52374557,15.63074913,108,2017,12,4,19,0,0,0,1,1,0,0,0.37946,0.43977
2.2,34.52374557,18.1462697,134,2023,10,4,11,0,0,1,0,0,0,1,0.2628,0.4404
16.5,50.08554175,30.78322815,146,2019,10,4,28,1,1,0,0,0,0,0,0.6347,0.7889
0.15,39.87847455,15.63074913,0,2022,11,4,23,1,1,0,0,0,0,0,0.37946,0.43977
8.62,42.23639278,15.63074913,142,2024,7,4,10,1,1,0,0,0,0,0,0.2198,0.2899
2.15,39.87847455,15.63074913,129,2018,8,4,28,1,0,0,0,0,0,1,0.488,0.6657
0.32,34.52374557,15.63074913,14,2018,4,4,1,1,0,0,0,0,0,0,0.37946,0.43977
0.1,69.90840608,15.63074913,120,2016,9,4,0,1,0,0,0,0,0,0,0.49486,0.60014
1.15,34.52374557,15.63074913,137,2025,4,4,151,0,0,1,0,0,0,1,0.3232,0.5106
0.08,96.78734388,15.63074913,115,2024,5,4,15,1,0,0,1,0,0,0,0.6077,0.8232
7.25,53.59314855,15.63074913,181,2024,4,3,9,0,0,0,0,0,0,1,0.3978,0.6249
0.29,34.52374557,15.63074913,116,2016,6,4,0,1,0,0,0,0,0,0,0.5185,0.65867
0.27,34.52374557,15.63074913,139,2016,11,4,30,0,0,1,0,0,0,0,0.4047,0.4757
127.1273,34.52374557,15.63074913,127,2019,8,4,0,1,0,0,0,0,1,1,0.46826,0.57847
6.5,64.60045577,15.63074913,142,2022,4,4,43,0,0,1,0,1,0,0,0.4461,0.4939
0.2,96.78734388,15.63074913,109,2022,9,4,30,1,0,0,0,0,0,1,0.2023,0.10115
10.58,39.87847455,15.63074913,159,2022,9,4,22,0,0,1,1,0,0,0,0.3041,0.493
3.52,0,15.63074913,157,2018,9,4,0,1,0,0,0,1,0,0,0.4379,0.52895
7.1,34.52374557,15.63074913,151,2016,8,3,0,0,0,1,0,0,0,0,0.4624,0.58588
121.1213,96.78734388,15.63074913,121,2018,3,4,0,1,1,0,0,0,0,0,0.39244,0.58482
20.12,30.23687965,15.63074913,155,2017,8,4,61,1,1,0,0,0,0,0,0.5094,0.64185
53.35,100,100,156,2019,10,2,0,0,0,1,1,0,0,0,0.36058,0.40371
20.22,39.87847455,15.63074913,124,2016,1,4,0,1,0,0,0,0,0,1,0.61026,0.75083
0.001,34.52374557,15.63074913,124,2017,5,4,10,1,0,0,0,0,0,0,0.37946,0.43977
0.1,34.52374557,15.63074913,109,2016,10,4,0,1,0,0,0,0,0,1,0.47486,0.51504
21.15,69.90840608,24.96031592,136,2017,6,4,29,1,0,0,0,0,0,0,0.6125,0.84
24.6,34.52374557,100,166,2024,1,3,10,0,0,1,0,0,0,1,0.2936,0.4316
0.04,34.52374557,15.63074913,127,2016,8,4,848,0,1,0,0,0,0,0,0.4889,0.6486
1.28,53.59314855,15.63074913,154,2018,9,4,16,1,0,0,0,0,0,0,0.20432,0.16664
5.14,40.56749372,15.63074913,123,2017,3,4,39,1,0,1,0,0,0,0,0.4589,0.61215
24.35,64.60045577,15.63074913,165,2025,6,4,0,0,1,0,1,0,0,0,0.44224,0.57607
8.71,53.59314855,19.56328158,138,2018,7,4,30,1,0,0,0,1,0,0,0.4567,0.4926
3.36,40.56749372,15.63074913,160,2018,2,4,59,1,0,1,1,0,0,0,0.4303,0.6059
0.18,34.52374557,15.63074913,122,2024,4,4,32,1,0,0,0,0,0,1,0.37946,0.43977
0.01,34.52374557,15.63074913,108,2019,3,4,9,0,0,0,0,0,0,1,0.4871,0.6369
0.25,53.59314855,15.63074913,129,2025,4,4,32,1,0,0,0,0,0,1,0.321,0.1279
0.12,34.52374557,15.63074913,96,2018,5,4,17,0,1,0,0,0,0,0,0.37946,0.43977
0.04,34.52374557,15.63074913,87,2019,2,4,622,1,0,0,0,0,0,0,0.5045,0.61715
0.35,34.52374557,0,142,2025,9,4,80,1,1,0,0,0,0,0,0.6098,0.7648
0.25,34.52374557,15.63074913,109,2016,11,4,0,1,0,0,0,0,0,0,0.43524,0.50411
0.3,34.52374557,15.63074913,121,2023,5,4,25,0,1,0,0,1,0,0,0.5138,0.7259
0.15,34.52374557,15.63074913,114,2017,2,4,43,0,1,0,0,1,0,0,0.3964,0.5148
0.25,34.52374557,15.63074913,111,2019,3,4,25,1,0,0,0,1,0,0,0.5578,0.69955
0.4,53.59314855,15.63074913,121,2023,12,4,14,0,0,1,1,0,0,0,0.502,0.70825
0.01,34.52374557,15.63074913,123,2016,8,3,0,1,0,1,0,0,0,0,0.20432,0.16664
0.11,34.52374557,15.63074913,109,2019,1,4,22,0,1,0,0,0,0,0,0.742,0.86195
15.25,34.52374557,15.63074913,143,2017,8,4,0,1,0,0,0,1,0,0,0.54148,0.6974
0.1,0,15.63074913,106,2017,10,4,0,0,0,0,1,0,0,0,0.44604,0.57761
0.001,34.52374557,15.63074913,128,2019,5,4,688,1,0,0,0,0,0,0,0.5502,0.6249
0.07,34.52374557,15.63074913,92,2017,5,4,0,1,0,0,0,0,0,1,0.39108,0.54534
0.31,0,15.63074913,120,2016,2,4,28,1,0,0,0,0,0,1,0.6019,0.7307
44.5,100,15.63074913,153,2023,11,6,618,0,0,1,1,0,0,0,0.0655,0
30.14,40.56749372,73.038058,151,2017,10,4,28,0,1,0,0,0,0,1,0.4937,0.62445
0.02,34.52374557,15.63074913,134,2017,4,4,31,1,0,0,0,0,0,0,0.5864,0.6418
11.83,64.60045577,18.1462697,154,2019,7,4,38,1,0,0,0,0,0,1,0.4982,0.6369
0.25,39.87847455,15.63074913,138,2023,9,4,6,1,0,0,0,0,0,1,0.36058,0.40371
0.4,39.87847455,15.63074913,129,2016,6,4,0,0,0,0,0,1,0,0,0.51518,0.64055
0.01,34.52374557,15.63074913,131,2016,7,4,0,0,1,0,0,1,0,0,0.477,0.57983
3.73,34.52374557,15.63074913,119,2021,11,4,0,0,0,1,1,0,0,0,0.46826,0.57847
10.04,39.87847455,20.16725386,128,2018,3,4,2212,0,0,0,1,0,1,0,0.1622,0.0386
14.11,39.87847455,27.75949514,143,2022,5,4,18,0,1,0,0,0,0,1,0.651,0.84555
2.9,53.59314855,15.63074913,147,2017,7,4,34,0,0,0,1,0,0,0,0.6715,0.78445
0.01,34.52374557,15.63074913,111,2019,10,4,0,1,0,0,0,0,0,0,0.44536,0.48633
0.24,34.52374557,15.63074913,122,2024,6,4,14,1,0,0,0,0,0,0,0.6256,0.6369
0.04,34.52374557,15.63074913,118,2018,9,4,23,0,0,0,0,1,0,0,0.6022,0.77735
28.5,69.90840608,15.63074913,159,2018,6,4,31,0,0,1,0,0,0,1,0.2945,0.24305
0.7,72.76391152,15.63074913,156,2023,10,3,72,1,0,0,0,1,0,0,0.41076,0.52715
7.53,42.23639278,15.63074913,138,2018,5,4,31,0,0,0,1,0,0,1,0.5636,0.73195
1.4,34.52374557,15.63074913,137,2017,11,4,0,1,0,0,1,1,0,0,0.477,0.57983
1.81,34.52374557,15.63074913,169,2022,11,4,8,1,0,0,0,0,0,1,0.5321,0.6309
0.3,39.87847455,15.63074913,126,2023,5,4,16,1,0,0,0,0,0,0,0.5903,0.8243
3.87,34.52374557,15.63074913,124,2022,10,4,0,1,1,0,0,0,0,0,0.43524,0.50411
0.03,34.52374557,15.63074913,103,2017,6,4,13,1,0,0,0,0,0,1,0.3377,0.4215
2.6,100,15.63074913,133,2021,11,4,18,0,1,0,0,0,1,0,0.4629,0.7161
0.02,34.52374557,15.63074913,108,2019,1,4,50,1,0,0,0,0,0,0,0.4372,0.4215
10.24,0,15.63074913,172,2016,10,4,45,1,0,1,0,0,0,0,0.3666,0.41
21.6,42.23639278,15.63074913,168,2019,4,2,29,1,0,0,0,1,0,1,0.37946,0.43977
0.66,30.23687965,15.63074913,103,2019,12,4,28,0,0,0,1,0,0,1,0.436,0.59775
10.36,100,15.63074913,132,2016,12,4,144,0,1,0,0,1,0,0,0.37946,0.43977
0.01,39.87847455,15.63074913,130,2022,3,4,13,1,0,0,0,0,0,1,0.5149,0.7336
12.06,42.23639278,15.63074913,145,2019,5,4,10,1,0,1,0,1,0,0,0.5992,0.7424
34.75,50.08554175,15.63074913,155,2018,6,4,30,1,0,0,0,0,0,1,0.5668,0.68385
0.06,58.78836239,15.63074913,116,2023,10,4,0,0,0,0,1,0,0,1,0.34306,0.38331
12.64,64.60045577,24.96031592,162,2021,12,4,24,0,0,0,0,0,0,1,0.6013,0.7184
0.005,69.90840608,15.63074913,109,2021,1,3,14,1,0,0,0,0,0,1,0.6148,0.7964
0.04,34.52374557,15.63074913,0,2021,2,4,0,1,0,0,0,0,0,1,0.42136,0.52884
0.14,34.52374557,15.63074913,123,2019,6,4,0,1,0,1,0,0,1,0,0.49536,0.62809
0.93,34.52374557,15.63074913,106,2024,9,4,28,1,0,0,0,1,0,0,0.4077,0.4665
12.5,34.52374557,15.63074913,157,2025,9,4,38,1,1,0,0,0,0,0,0.5403,0.6933
7.2,34.52374557,15.63074913,128,2016,2,4,87,1,0,1,0,0,0,0,0.6567,0.78755
0.06,100,15.63074913,125,2021,3,4,380,1,0,0,0,0,1,0,0.4847,0.6054
0.03,34.52374557,15.63074913,102,2016,6,4,0,1,0,0,0,0,0,0,0.27792,0.30548
0.5,34.52374557,15.63074913,133,2025,3,4,29,1,0,1,0,0,0,0,0.3934,0.6369
0.04,34.52374557,15.63074913,113,2023,11,4,19,1,0,0,0,0,0,1,0.42136,0.52884
0.005,34.52374557,15.63074913,49,2024,8,4,1908,1,0,1,0,0,0,0,0.3127,0.34
0.7,50.08554175,9.48159046,134,2019,9,4,22,0,1,0,0,0,0,1,0.5755,0.76575
0.05,34.52374557,15.63074913,151,2019,7,4,32,0,0,0,0,1,0,0,0.43534,0.52784
0.08,34.52374557,27.75949514,136,2024,11,4,1451,0,0,0,1,0,1,0,0.3226,0.3715
2.2,34.52374557,15.63074913,129,2016,10,4,36,0,0,0,0,1,0,0,0.51256,0.65009
15.81,69.90840608,30.78322815,144,2023,4,4,11,0,1,1,0,0,0,0,0.2899,0.64275
15.38,39.87847455,15.63074913,142,2022,11,4,650,0,0,0,1,0,1,0,0.4174,0.5571
0.03,34.52374557,15.63074913,95,2025,2,4,0,0,0,0,0,1,0,1,0.41088,0.4649
0.07,34.52374557,15.63074913,118,2016,3,4,0,1,0,0,0,0,0,0,0.4793,0.63125
0.05,34.52374557,15.63074913,138,2016,7,4,0,1,0,0,0,0,0,0,0.47536,0.5436
2.02,0,15.63074913,139,2016,11,4,4,1,0,0,0,0,0,1,0.37946,0.43977
0.01,34.52374557,15.63074913,128,2022,12,4,18,0,1,0,0,0,0,0,0.3877,0.4215
0.08,34.52374557,15.63074913,138,2025,9,4,9,1,0,0,0,1,0,0,0.5144,0.68995
0.8,34.52374557,15.63074913,134,2018,9,4,45,1,1,1,0,0,0,0,0.5536,0.6529
0.1,34.52374557,15.63074913,99,2023,9,4,1425,1,0,0,0,0,0,0,0.5051,0.6369
0.45,34.52374557,15.63074913,115,2016,6,4,30,0,0,1,1,0,1,0,0.3104,0.43095
0.02,34.52374557,15.63074913,133,2022,7,4,945,0,0,1,0,1,0,0,0.3207,0.3612
4.5,34.52374557,15.63074913,121,2019,7,4,24,1,0,1,1,0,1,1,0.5105,0.6124
7.48,72.76391152,15.63074913,156,2022,11,3,36,0,1,0,0,0,0,1,0.4338,0.70935
57,100,100,146,2023,1,2,34,0,0,1,1,0,0,0,0.3041,0.53945
2.5,34.52374557,15.63074913,149,2019,10,4,0,1,0,0,0,0,0,1,0.50662,0.62984
36.6,39.87847455,27.75949514,158,2024,11,4,16,0,1,0,0,0,0,1,0.47764,0.61173
0.003,39.87847455,15.63074913,125,2023,11,4,0,0,0,0,1,0,1,0,0.48754,0.62476
0.6,34.52374557,15.63074913,88,2017,11,1,0,0,0,0,1,0,0,0,0.44774,0.57061
0.3,34.52374557,15.63074913,117,2018,1,4,11,1,0,0,0,0,0,0,0.5428,0.71325
0.65,34.52374557,15.63074913,164,2018,8,4,31,1,0,0,0,0,0,0,0.565,0.6369
0.25,53.59314855,15.63074913,139,2022,11,4,28,0,0,0,0,0,0,1,0.44658,0.53087
0.12,34.52374557,15.63074913,135,2018,3,4,0,0,1,0,0,0,0,0,0.54062,0.62446
0.1,34.52374557,15.63074913,119,2017,9,4,0,1,0,0,0,0,0,1,0.551,0.59714
1.65,53.59314855,15.63074913,147,2022,2,4,0,0,1,0,0,1,0,0,0.37946,0.43977
1.35,42.23639278,15.63074913,106,2024,7,4,92,0,0,1,1,0,0,0,0.1599,0.3612
0.35,34.52374557,15.63074913,124,2018,3,4,15,0,1,0,0,0,0,0,0.5583,0.6762
0.17,34.52374557,15.63074913,148,2024,6,4,1,1,0,0,0,0,0,1,0.41088,0.4649
12.6,39.87847455,15.63074913,136,2017,9,4,0,0,0,1,1,0,0,0,0.36594,0.47592
4.32,34.52374557,15.63074913,136,2016,9,4,0,1,0,0,0,0,0,1,0.4065,0.49875
0.001,34.52374557,15.63074913,120,2017,3,4,21,1,1,0,0,0,0,0,0.5794,0.78735
0.8,30.23687965,15.63074913,140,2023,10,4,0,1,0,0,0,0,0,1,0.44904,0.63961
0.46,34.52374557,15.63074913,107,2017,8,4,0,1,0,0,0,0,1,0,0.36058,0.40371
0.01,34.52374557,15.63074913,142,2019,1,4,0,1,0,1,0,0,0,0,0.56428,0.72503
4.04,50.08554175,15.63074913,132,2017,8,4,46,0,0,1,1,0,0,0,0.5966,0.7177
5.02,53.59314855,15.63074913,130,2019,6,4,0,1,0,0,1,0,1,1,0.50662,0.62984
9.62,34.52374557,15.63074913,153,2025,4,3,2,1,0,1,0,0,0,0,0.4174,0.58815
