Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Adipurush,2023,Hindi,36,"T-Series Super Cassettes Industries Ltd., Retrophiles Productions",16-06-2023,"Mythological, Drama",Om Raut,179
Tu Jhoothi Main Makkaar,2023,Hindi,15.73,"T-Series Super Cassettes Industries Ltd., Luv Films",08-03-2023,"Romance, Comedy",Luv Ranjan,159
Bell Bottom,2021,Hindi,20.92,"Pooja Entertainment India Ltd., Emmay Entertainment Pvt. Ltd",19-08-2021,"Action, Thriller",Ranjit M Tewari,125
Sarfira,2024,Hindi,2.5,"Cape of Good Films, Abundantia Entertainment, 2D Entertainment",12-07-2024,"Biographical, Drama",Sudha Kongara,155
Kesari,2019,Hindi,21.06,"Dharma Productions, Cape of Good Films, Azure Entertainment, Zee Studios",21-03-2019,"Drama, Action, Patriotic, Period",Anurag Singh,150
Yaatris,2023,Hindi,0.03,"Akion Entertainment, Thinking Bird Production",24-11-2023,"Family, Drama",Harish Vyas,108
Dear Dad,2016,Hindi,0.22,Peppermint Studios,06-05-2016,Drama,Tanuj Bhramar,95
October,2018,Hindi,4.25,Rising Sun Films Production,13-04-2018,"Drama, Romance",Shoojit Sircar,115
Mahavatar Narsimha,2025,Hindi,1.46,Kleem Productions,25-07-2025,"Mythological, Drama",Ashwini Kumar,131
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,3.3,"Vidhu Vinod Chopra Productions, Fox Star Studios, Rajkumar Hirani Films",01-02-2019,"Drama, Romance",Shelly Chopra Dhar,120
Tu Hai Mera Sunday,2017,Hindi,0.1,Love And Faith Films,06-10-2017,Drama,Milind Dhaimade,126
Tumko Meri Kasam,2025,Hindi,0.5,Indira Entertainment,21-03-2025,"Biographical, Thriller",Vikram Bhatt,166
Coffee with D,2017,Hindi,0.15,Apex Entertainment,20-01-2017,Comedy,Vishal Mishra,123
Ajmer 92,2023,Hindi,1,"Reliance Entertainment, U&K Films Entertainment, Sumit Motion Pictures, Little Crew Pictures Production",21-07-2023,"Crime, Drama",Pushpendra Singh,0
