Title,Year,Language
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Hindi
Pad Man,2018,Hindi
Mission Raniganj,2023,Hindi
Kooki,2024,Hindi
Sky Force,2025,Hindi
Zero Se Restart,2024,Hindi
Nishaanchi,2025,Hindi
Milan Talkies,2019,Hindi
Nazar Andaaz,2022,Hindi
The Girl on the Train,2021,Hindi
Luka Chuppi,2019,Hindi
Bhool Chuk Maaf,2025,Hindi
Soni,2019,Hindi
Maarrich,2022,Hindi
Officer Arjun Singh IPS Batch 2000,2019,Hindi
Pad Man,2018,Hindi
Beiimaan Love,2016,Hindi
Nirdosh,2018,Hindi
Sonu Ke Titu Ki Sweety,2018,Hindi
Partition: 1947,2017,Hindi
Kaagaz 2,2024,Hindi
Jia aur Jia,2017,Hindi
Azhar,2016,Hindi
Babloo Bachelor,2021,Hindi
Yamla Pagla Deewana: Phir Se,2018,Hindi
Hungama 2,2021,Hindi
The Bengal Files,2025,Hindi
ISIS: Enemies of Humanity,2017,Hindi
Tera Intezaar,2017,Hindi
Babuji Ek Ticket Bambai,2017,Hindi
Wah Taj,2016,Hindi
Neerja,2016,Hindi
Meenakshi Sundareshwar,2021,Hindi
The Kashmir Files,2022,Hindi
Raees,2017,Hindi
Ganapath,2023,Hindi
Kathal,2023,Hindi
Ek Deewane Ki Deewaniyat,2025,Hindi
Badhaai Ho,2018,Hindi
Nadaaniyan,2025,Hindi
Housefull 4,2019,Hindi
Drive,2019,Hindi
Jai Chhathi Maa,2019,Hindi
Mere Raho,2025,Hindi
Double XL,2022,Hindi
1920: Horrors of the Heart,2023,Hindi
Bad Newz,2024,Hindi
Mumbai Saga,2021,Hindi
Switchh,2021,Hindi
Fanney Khan,2018,Hindi
Neeyat,2023,Hindi
Panch Kriti,2023,Hindi
Mercury,2018,Hindi
Freddy,2022,Hindi
Collar Bomb,2021,Hindi
Freaky Ali,2016,Hindi
Ground Zero,2025,Hindi
Jahangir National University,2024,Hindi
Tipppsy,2024,Hindi
Haathi Mere Saathi,2021,Hindi
Maidaan,2024,Hindi
Kabir Singh,2019,Hindi
Zubaan,2016,Hindi
Brahman Naman,2016,Hindi
Dhanak,2016,Hindi
Dongri Ka Raja,2016,Hindi
Plan A Plan B,2022,Hindi
Rashmi Rocket,2021,Hindi
Bollywood Diaries,2016,Hindi
Chicken Curry Law,2019,Hindi
Bhaiaji Superhit,2018,Hindi
Heropanti 2,2022,Hindi
Pranaam,2019,Hindi
Siya,2022,Hindi
Vikram Vedha,2022,Hindi
Raat Baaki Hai,2021,Hindi
Squad,2021,Hindi
Ae Dil Hai Mushkil,2016,Hindi
Chandigarh Kare Aashiqui,2021,Hindi
Chhatriwali,2023,Hindi
Qala,2022,Hindi
Attack: Part 1,2022,Hindi
Ajey: The Untold Story of a Yogi,2025,Hindi
Jaadugar,2022,Hindi
Good Newwz,2019,Hindi
Manmarziyaan,2018,Hindi
Jewel Thief,2025,Hindi
Mission Grey House,2025,Hindi
A Flying Jatt,2016,Hindi
Veerey Ki Wedding,2018,Hindi
Toilet: Ek Prem Katha,2017,Hindi
War,2019,Hindi
Airlift,2016,Hindi
Kaushaljis vs Kaushal,2025,Hindi
Farrey,2023,Hindi
Chakallaspur,2017,Hindi
Saansein,2016,Hindi
31st October,2016,Hindi
Jalsa,2022,Hindi
Ahaan,2021,Hindi
Tubelight,2017,Hindi
Mere Pyare Prime Minister,2019,Hindi
Fighter,2024,Hindi
Hai Apna Dil Toh Awara,2016,Hindi
Paltan,2018,Hindi
Commando 2,2017,Hindi
Maalik,2025,Hindi
Housefull 5,2025,Hindi
Dhadak,2018,Hindi
Agni,2024,Hindi
Aiyaary,2018,Hindi
Crakk,2024,Hindi
Dukaan,2024,Hindi
Hamid,2019,Hindi
Phule,2025,Hindi
8 A.M. Metro,2023,Hindi
Hope Aur Hum,2018,Hindi
The Fakir of Venice,2019,Hindi
Rustom,2016,Hindi
Yodha,2024,Hindi
Dunki,2023,Hindi
Meel Patthar,2021,Hindi
Heer Express,2025,Hindi
Moh Maya Money,2016,Hindi
Jogira Sara Ra Ra,2023,Hindi
Running Shaadi,2017,Hindi
Photograph,2019,Hindi
Dulhaniyan Le Aayegi,2025,Hindi
Joram,2023,Hindi
Waarrior Savitri,2016,Hindi
Fraud Saiyaan,2019,Hindi
M.S. Dhoni: The Untold Story,2016,Hindi
Rabia & Olivia,2023,Hindi
Jab Harry Met Sejal,2017,Hindi
Rukh,2017,Hindi
Yeh Hai India,2019,Hindi
Saat Uchakkey,2016,Hindi
Tiger Zinda Hai,2017,Hindi
Uri: The Surgical Strike,2019,Hindi
Mantostaan,2017,Hindi
Khufiya,2023,Hindi
The Wife,2021,Hindi
Aligarh,2016,Hindi
Tiger 3,2023,Hindi
Sultan,2016,Hindi
Golmaal Again,2017,Hindi
Begum Jaan,2017,Hindi
Lantrani,2024,Hindi
Super 30,2019,Hindi
Sukhee,2023,Hindi
Jaoon Kahan Bata Ae Dil,2019,Hindi
Sherni,2021,Hindi
Junooniyat,2016,Hindi
Marne Bhi Do Yaaron,2019,Hindi
Love Ke Funday,2016,Hindi
Cash,2021,Hindi
Raid,2018,Hindi
Roohi,2021,Hindi
Bhool Bhulaiyaa 2,2022,Hindi
Mom,2017,Hindi
Jacqueline I Am Coming,2019,Hindi
Mumbai Saga,2021,Hindi
Bajrang Aur Ali,2024,Hindi
Ishqeria,2018,Hindi
Race 3,2018,Hindi
Roohi,2021,Hindi
Dono,2023,Hindi
An Action Hero,2022,Hindi
Raazi,2018,Hindi
SP Chauhan,2019,Hindi
Julie 2,2017,Hindi
Uunchai,2022,Hindi
Raag,2021,Hindi
Afwaah,2023,Hindi
Doctor G,2022,Hindi
G Kutta Se,2017,Hindi
"Monica, O My Darling",2022,Hindi
Bunty Aur Babli 2,2021,Hindi
Bombairiya,2019,Hindi
Kaashi in Search of Ganga,2018,Hindi
Raksha Bandhan,2022,Hindi
Shivaay,2016,Hindi
Kalank,2019,Hindi
Why Cheat India,2019,Hindi
The Body,2019,Hindi
Befikre,2016,Hindi
72 Hours: Martyr Who Never Died,2019,Hindi
Aazam,2023,Hindi
Toolsidas Junior,2022,Hindi
Student of the Year 2,2019,Hindi
Interrogation,2025,Hindi
Sanju,2018,Hindi
Sajini Shinde Ka Viral Video,2023,Hindi
Apurva,2023,Hindi
Tadap,2021,Hindi
Jo Tera Hai Woh Mera Hai,2024,Hindi
83,2021,Hindi
Kaagaz,2021,Hindi
