Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
NH-8 Road to Nidhivan,2015,Hindi,,,0,,,Auroshikha Dey,17-04-2015,N/A
Do Knot Disturb,2009,Hindi,"Comedy, Romance",,126,,David Dhawan,"Govinda, Sushmita Sen, Lara Dutta",,
My Father Iqbal,2016,Hindi,Drama,,104,,Suzad Iqbal Khan,"Narendra Jha, Komal Thacker",21-10-2016,N/A
Satyameva Jayate 2,2021,Hindi,"Action, Crime, Drama, Thriller","Emmay Entertainment, T-Series",141,"23,79,75,000",Milap Zaveri,"John Abraham, Divya Khossla, Nora Fatehi",25-11-2021,UA
Operation Romeo,2022,Hindi,"Drama, Thriller","E4 Entertainments, Friday Filmworks, Plan C Studios, Reliance Entertainment",135,,Shashant Shah,"Sidhant Gupta, Vedika Pinto, Sharad Kelkar",22-04-2022,UA
Phir Se...,2018,Hindi,"Comedy, Drama","Intercut Entertainment, Pen Studios, Sunny Sounds",147,,Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol",31-08-2018,UA
Bhoot Returns,2012,Hindi,Horror,"Eros Entertainment, Alumbra Entertainment",73,"6,26,25,000",Ram Gopal Varma,"Manisha Koirala, J. D. Chakravarthi, Madhu Shalini",11-10-2012,A
Wake Up Sid,2009,Hindi,"Comedy, Drama, Romance",Dharma Productions,138,"25,05,00,000",Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna",02-10-2009,UA
Haddi,2023,Hindi,"Drama, Crime","Zee Studios, Anandita Studios",134,,Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Shreedhar Dubey",,
Shor in the City,2011,Hindi,"Crime, Drama","Cult Movies, Balaji Motion Pictures",107,,Raj Nidimoru,"Sundeep Kishan, Tusshar Kapoor, Sendhil Ramamurthy",28-04-2011,N/A
The Japanese Wife,2010,Hindi,"Drama, Romance",Saregama Films,105,,Aparna Sen,"Rahul Bose, Raima Sen, Chigusa Takaku",09-04-2010,N/A
Kaalakaandi,2018,Hindi,"Comedy, Thriller, Drama","Flying Unicorn Entertainment, Cinestaan Film Company",112,,Akshat Verma,"Saif Ali Khan, Akshay Oberoi, Isha Talwar",12-01-2018,A
Chaar Din Ki Chandni,2012,Hindi,"Comedy, Romance",,119,,Samir Karnik,"Rana Jung Bahadur, Anupam Kher, Tusshar Kapoor",09-03-2012,N/A
Babloo Happy Hai,2014,Hindi,"Comedy, Drama, Romance",,113,,Nila Madhab Panda,"Sahil Anand, Parvin Dabas, Erica Fernandes",07-02-2014,N/A
Evening Shadows,2019,Hindi,,,,,,,,
Mummy Punjabi,2011,Hindi,,,116,,,"Kirron Kher, Kanwaljit Singh, Jackie Shroff",31-08-2011,N/A
Murder 2,2011,Hindi,"Action, Crime, Drama, Thriller","Vishesh Films, Prime Focus",127,,Mohit Suri,"Emraan Hashmi, Prashant Narayanan, Jacqueline Fernandez",08-07-2011,A
Ram Ki Janmabhoomi,2019,Hindi,,,0,,,,29-03-2019,U
Salaam Venky,2022,Hindi,Drama,"Blive Productions, R Take Studios, Connekkt Media",131,,Revathi,"Vishal Jethwa, Kajol, Aahana Kumra",09-12-2022,UA
Chamku,2008,Hindi,"Action, Crime, Romance, Thriller","Vijayta Films, Vainteya",105,,Kabeer Kaushik,"Bobby Deol, Priyanka Chopra Jonas, Riteish Deshmukh",29-08-2008,A
1920: The Evil Returns,2012,Hindi,"Thriller, Horror, Romance",ASA Productions and Enterprises,130,,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade",02-11-2012,A
Welcome Back,2015,Hindi,"Action, Comedy",Base Industries Group,153,,Anees Bazmee,"John Abraham, Shruti Haasan, Anil Kapoor",04-09-2015,UA
Satrangee Parachute,2011,Hindi,,,120,,Vineet Khetrapal,,25-02-2011,N/A
Banjo,2016,Hindi,"Music, Action","Eros International, Eros International",140,,Ravi Jadhav,"Riteish Deshmukh, Nargis Fakhri, Aditya Kumar",23-09-2016,N/A
Beehad - The Ravines,2013,Hindi,,,,,,,,
PK,2014,Hindi,"Comedy, Drama, Science Fiction","Rajkumar Hirani Films, Vinod Chopra Films, UTV Motion Pictures",153,"1,08,55,00,000",Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Saurabh Shukla",19-12-2014,UA
Good Newwz,2019,Hindi,"Romance, Comedy, Family, Drama","Dharma Productions, Cape Of Good Films, Zee Studios",132,,Raj Mehta,"Akshay Kumar, Diljit Dosanjh, Kareena Kapoor Khan",27-12-2019,UA
Project Marathwada,2016,Hindi,Drama,Eagle Eye Entertainment,102,,Bhavin Wadia,"Om Puri, Seema Biswas, Govind Namdeo",03-06-2016,N/A
B.A. Pass,2013,Hindi,,,,,,,,
Coffee with D,2017,Hindi,Comedy,,123,,Vishal Mishra,"Sunil Grover, Anjana Sukhani, Zakir Hussain",20-01-2017,A
Pyaar Mein Twist,2005,Hindi,"Music, Comedy, Drama",,123,,Hriday Shetty,"Rishi Kapoor, Dimple Kapadia, Kishori Shahane",02-09-2005,N/A
Dasvi,2022,Hindi,"Drama, Comedy","Jio Studios, Maddock Films, Bake My Cake Films",127,,Tushar Jalota,"Abhishek Bachchan, Yami Gautam, Nimrat Kaur",,
Ra.One,2011,Hindi,"Adventure, Action, Science Fiction","Red Chillies Entertainment, Eros International, Prime Focus",156,"2,00,40,00,000",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor Khan",26-10-2011,U
Heyy Babyy,2007,Hindi,"Comedy, Drama, Romance",Nadiadwala Grandson Entertainment,150,"78,49,00,000",Sajid Khan,"Akshay Kumar, Riteish Deshmukh, Fardeen Khan",24-08-2007,UA
Lage Raho Munna Bhai,2006,Hindi,"Comedy, Drama, Romance",Vidhu Vinod Chopra Productions,144,"15,03,00,000",Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Dilip Prabhavalkar",,
Humshakals,2014,Hindi,Comedy,"Fox Star Studios, Pooja Entertainment",160,,Sajid Khan,"Saif Ali Khan, Riteish Deshmukh, Ram Kapoor",20-06-2014,UA
Bank Chor,2017,Hindi,"Comedy, Crime, Thriller",Y-Films,129,,Bumpy,"Vivek Oberoi, Riteish Deshmukh, Rhea Chakraborty",16-06-2017,UA
Partner,2007,Hindi,"Comedy, Romance","Eros International, Sohail Khan Production",143,,David Dhawan,"Salman Khan, Govinda, Lara Dutta",20-07-2007,UA
