Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Hum Chaar,2019,Hindi,Drama,Rajshri Productions,143,,Abhishek Dixit,"Prit Kamani, Anshuman Malhotra, Tushar Pandey",15-02-2019,N/A
83,2021,Hindi,"Drama, History","Kabir Khan Films, Vibri Media, Reliance Entertainment, Phantom Films, Nadiadwala Grandson Entertainment, KA Productions",160,"3,07,17,13,498",Kabir Khan,"Ranveer Singh, Pankaj Tripathi, Tahir Raj Bhasin",24-12-2021,U
13B,2009,Hindi,"Mystery, Horror","Reliance Entertainment, Wide Angle Creations, BIG Pictures",137,,Vikram Kumar,"R. Madhavan, Neetu Chandra, Sachin Khedekar",06-03-2009,A
Krazzy 4,2008,Hindi,"Comedy, Crime",Film Kraft,110,,Jaideep Sen,"Arshad Warsi, Irrfan Khan, Suresh Menon",11-04-2008,UA
Maine Pyaar Kyun Kiya?,2005,Hindi,"Comedy, Drama, Romance","Shree Ashtavinayak Cine Vision, Sohail Khan Production",145,,David Dhawan,"Salman Khan, Sushmita Sen, Katrina Kaif",15-07-2005,U
Patiala House,2011,Hindi,Drama,"Hari Om Entertainment, T-Series",140,"25,05,00,000",Nikkhil Advani,"Akshay Kumar, Anushka Sharma, Rishi Kapoor",28-01-2011,N/A
Rashtra Kavach Om,2022,Hindi,"Action, Adventure, Thriller","Zee Studios, Paper Doll Entertaiment, INCAS Produzioni",135,,Kapil Verma,"Aditya Roy Kapur, Sanjana Sanghi, Prakash Raj",01-07-2022,UA
Break Ke Baad,2010,Hindi,"Drama, Comedy, Romance","Kunal Kohli Productions, Reliance Entertainment, Kunal Kohli Productions",120,"21,71,00,000",Danish Aslam,"Imran Khan, Deepika Padukone, Shahana Goswami",25-11-2010,U
Bachna Ae Haseeno,2008,Hindi,"Romance, Comedy, Drama",Yash Raj Films,153,"20,04,00,000",Siddharth Anand,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu",15-08-2008,UA
Trump Card,2010,Hindi,Thriller,,0,,,,11-03-2010,U/A
Bawaal,2023,Hindi,"Drama, Romance, Action, History","Nadiadwala Grandson Entertainment, Earthsky Pictures",137,"50,10,00,000",Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa",,
Manjhi â The Mountain Man,2015,Hindi,,,,,,,,
Chandni Chowk to China,2009,Hindi,"Action, Adventure, Comedy","Warner Bros. Pictures, People Tree Films, Ramesh Sippy Enterprises, Benetone Films, China Film Group Corporation, Warner Bros. India",154,"1,00,20,00,000",Nikkhil Advani,"Akshay Kumar, Deepika Padukone, Mithun Chakraborty",16-01-2009,U
Krishna Aur Kans,2012,Hindi,"Drama, Animation, Action","Reliance MediaWorks, Reliance Animation, Reliance Entertainment",117,,Vikram Veturi,"Manoj Bajpayee, Harish Bhimani, Neetu Chaudhary",03-08-2012,U
Bang Bang!,2014,Hindi,"Action, Adventure, Comedy, Romance, Thriller","Fox Star Studios, Benetone Films, Fox International Productions India, Milk & Honey Pictures",153,,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Danny Denzongpa",02-10-2014,UA
Sonchiriya,2019,Hindi,"Crime, Action, Drama","RSVP Movies, MacGuffin Pictures",145,,Abhishek Chaubey,"Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana",01-03-2019,A
Ready,2011,Hindi,"Action, Comedy",Sohail Khan Production,140,"48,43,00,000",Anees Bazmee,"Salman Khan, Asin Thottumkal, Paresh Rawal",03-06-2011,UA
Dostana,2008,Hindi,"Drama, Comedy, Romance","Dharma Productions, Black Dog Jib Productions, Yash Raj Films",141,"83,50,00,000",Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas",14-11-2008,UA
Ranchi Diaries,2017,Hindi,Drama,"Actor Prepares, Coconut Motion Pictures",96,,Sattwik Mohanty,"Jimmy Shergill, Anupam Kher, Soundarya Sharma",13-10-2017,UA
Meri Pyaari Bindu,2017,Hindi,"Drama, Romance",Yash Raj Films,119,"25,17,33,295",Akshay Roy,"Ayushmann Khurrana, Parineeti Chopra, Kamalika Banerjee",11-05-2017,UA
The Last Lear,2008,Hindi,Drama,Planman Motion Pictures,113,"12,52,50,000",Rituparno Ghosh,"Amitabh Bachchan, Preity Zinta, Arjun Rampal",,
Roadside Romeo,2008,Hindi,"Animation, Family, Adventure, Comedy","Yash Raj Films, Disney World Cinema",92,"58,45,00,000",Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor Khan, Javed Jaffrey",,
City of Gold,2010,Hindi,"Drama, Crime",DAR Motion Pictures,0,,Mahesh Manjrekar,"Shashank Shende, Seema Biswas, Ankush Chaudhari",23-04-2010,A
Meri Padosan[6],2009,Hindi,,,,,,,,
Cheeni Kum,2007,Hindi,"Romance, Drama","Eros International, People Tree Films",136,,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal",,
Murder 2,2011,Hindi,"Action, Crime, Drama, Thriller","Vishesh Films, Prime Focus",127,,Mohit Suri,"Emraan Hashmi, Prashant Narayanan, Jacqueline Fernandez",08-07-2011,A
Rocky Aur Rani Kii Prem Kahaani,2023,Hindi,"Comedy, Drama, Family, Romance","Dharma Productions, Viacom18 Studios",179,,Karan Johar,"Alia Bhatt, Ranveer Singh, Jaya Bachchan",28-07-2023,UA
Bhoot Police,2021,Hindi,"Adventure, Horror, Comedy","Tips Industries, 12th Street Entertainment",129,,Pavan Kirpalani,"Saif Ali Khan, Arjun Kapoor, Yami Gautam",,
Ishq Pashmina,2022,Hindi,"Drama, Romance",Krishna Shanti Production,0,,Arvind Pandey,"Bhavin Bhanushali, Malti Chahar, Zarina Wahab",23-09-2022,UA
Shaapit,2010,Hindi,Horror,City Film,136,,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev",19-03-2010,A
Mard Ko Dard Nahi Hota,2019,Hindi,"Action, Comedy",RSVP Movies,136,,Vasan Bala,"Abhimanyu Dasani, Radhikka Madan, Gulshan Devaiah",21-03-2019,UA
Shamshera,2022,Hindi,"Action, Drama, Adventure","Yash Raj Films, Prime Focus",158,"1,67,00,000",Karan Malhotra,"Ranbir Kapoor, Sanjay Dutt, Vaani Kapoor",22-07-2022,UA
Ta Ra Rum Pum,2007,Hindi,"Family, Comedy, Romance",Yash Raj Films,153,"50,10,00,000",Siddharth Anand,"Saif Ali Khan, Rani Mukerji, Javed Jaffrey",27-04-2007,N/A
Silence... Can You Hear It?,2021,Hindi,"Thriller, Drama","Zee Studios, Candid Creations",136,,Aban Bharucha Deohans,"Manoj Bajpayee, Arjun Mathur, Prachi Desai",,
Raaz 3: The Third Dimension,2012,Hindi,"Horror, Thriller","Fox Star Studios, Vishesh Films",139,"30,06,00,000",Vikram Bhatt,"Bipasha Basu, Emraan Hashmi, Esha Gupta",07-09-2012,A
Dunno Y... Na Jaane Kyon,2010,Hindi,,,,,,,,
Ek Paheli Leela,2015,Hindi,"Romance, Music, Thriller, Horror",Paper Doll Entertaiment,145,,Bobby Khan,"Sunny Leone, Rajneesh Duggal, Rahul Dev",10-04-2015,A
Pranaam,2019,Hindi,"Action, Crime, Drama",,116,,Sanjiv Jaiswal,"Rajeev Khandelwal, Sameksha Oswal, Atul Kulkarni",09-08-2019,U
Tiger 3,2023,Hindi,"Action, Adventure, Thriller","Yash Raj Films, First Step Productions, Etalon-Film, FPS Productions, SK-Film",155,"3,03,27,20,000",Maneesh Sharma,"Salman Khan, Katrina Kaif, Emraan Hashmi",12-11-2023,U/A 13+
Waqt: The Race Against Time,2005,Hindi,Drama,"Blockbuster Movie Entertainers, Eros International, E1 India",153,,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Priyanka Chopra Jonas",,
Traffic Signal,2007,Hindi,Drama,Bhandarkar Entertainment,130,,Madhur Bhandarkar,"Kunal Khemu, Neetu Chandra, Konkona Sen Sharma",07-02-2007,N/A
Daawat-e-Ishq,2014,Hindi,"Drama, Romance, Comedy",Yash Raj Films,118,,Habib Faisal,"Aditya Roy Kapur, Parineeti Chopra, Anupam Kher",19-09-2014,U
Pati Patni Aur Woh,2019,Hindi,"Comedy, Romance","B.R. Studios, T-Series",125,,Mudassar Aziz,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday",06-12-2019,N/A
Vikram Vedha,2022,Hindi,"Action, Crime, Thriller","Friday Filmworks, Reliance Entertainment, Y NOT Studios, Jio Studios, T-Series",160,,Gayathri,"Saif Ali Khan, Hrithik Roshan, Radhika Apte",30-09-2022,N/A
De De Pyaar De,2019,Hindi,"Romance, Comedy",LUV Films,135,,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh",17-05-2019,N/A
Rangeela Raja,2019,Hindi,"Comedy, Drama",Chiragdeep International,162,,Sikander Bharti,"Govinda, Shakti Kapoor, Digangana Suryavanshi",18-01-2019,UA
Agneepath,2012,Hindi,"Action, Crime, Drama",Dharma Productions,174,"72,64,50,000",Karan Malhotra,"Hrithik Roshan, Sanjay Dutt, Priyanka Chopra Jonas",26-01-2012,UA
Sarbjit,2016,Hindi,Drama,"Legend Global Studio, T-Series",131,"28,39,00,000",Omung Kumar,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha",20-05-2016,UA
Drishyam 2,2022,Hindi,"Crime, Thriller, Drama, Mystery","Viacom18 Studios, Panorama Studios, T-Series, Aashirvad Cinemas, Reflection Pictures Studio",140,"60,12,00,000",Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu",18-11-2022,UA
Sikandar,2009,Hindi,"Drama, Thriller",,110,,Piyush Jha,"Parzaan Dastur, Ayesha Kapoor, R. Madhavan",,
Ajeeb Daastaans,2021,Hindi,"Drama, Romance",Dharmatic Entertainment,142,,Shashank Khaitan,"Konkona Sen Sharma, Shefali Shah, Aditi Rao Hydari",,
Mr. X,2015,Hindi,"Action, Science Fiction, Thriller",Vishesh Films,125,,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur, Arunoday Singh",17-04-2015,N/A
Guthlee Ladoo,2023,Hindi,,,,,,,,
Road To Sangam,2010,Hindi,Drama,Gipsy Films,135,,Amit Rai,"Paresh Rawal, Om Puri, Pavan Malhotra",29-01-2010,U
Rowdy Rathore,2012,Hindi,"Action, Comedy, Crime",Bhansali Productions,143,"55,94,50,000",Prabhu Deva,"Akshay Kumar, Sonakshi Sinha, Nassar",01-06-2012,UA
The Legend of Michael Mishra,2016,Hindi,"Drama, Comedy",Eye Candy Films Wave Cinemas,125,,Manish Jha,"Arshad Warsi, Aditi Rao Hydari, Boman Irani",05-08-2016,U
MSG: The Messenger,2015,Hindi,"Comedy, Action",,180,,Gurmeet Ram Rahim Singh,"Gurmeet Ram Rahim Singh, Daniel Kaleb, Jayshree Soni",,
Aap Ki Khatir,2006,Hindi,"Comedy, Romance",Venus Films,127,,Dharmesh Darshan,"Akshaye Khanna, Priyanka Chopra Jonas, Suniel Shetty",25-08-2006,N/A
Darna Zaroori Hai,2006,Hindi,"Thriller, Horror","RGV Film Factory, K Sera Sera Limited",108,,J. D. Chakravarthi,"Manoj Pahwa, Sarita Joshi, Amitabh Bachchan",28-04-2006,A
Bhool Bhulaiyaa,2007,Hindi,"Comedy, Horror, Thriller",T-Series,158,"31,73,00,000",Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja",12-10-2007,N/A
Arjun: The Warrior Prince,2012,Hindi,"Action, Animation","UTV Motion Pictures, Disney World Cinema",96,,Arnab Chaudhuri,"Yuddvir Bakolia, Ila Arun, Aanjjan Srivastav",24-05-2012,U
Aa Bhi Ja O Piya,2021,Hindi,,,,,,,,
Aasma: The Sky Is the Limit,2009,Hindi,Drama,,108,"2,088",Rohit Nayyar,"Seema Biswas, Hrishitaa Bhatt, Nauheed Cyrusi",23-01-2009,N/A
Tere Bin Laden: Dead or Alive,2016,Hindi,Comedy,,104,,Abhishek Sharma,"Maniesh Paul, Pradhuman Singh, Mia Uyeda",,
Raqeeb,2007,Hindi,,,124,,Anurag Singh,"Rahul Khanna, Sharman Joshi, Tanushree Dutta",18-05-2007,N/A
Hasee Toh Phasee,2014,Hindi,"Comedy, Romance","Phantom Films, Dharma Productions",141,,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma",07-02-2014,UA
Kaun Pravin Tambe?,2022,Hindi,Drama,"Friday Filmworks, Fox Star Studios, Bootroom Sports",133,,Jayprad Desai,"Shreyas Talpade, Ashish Vidhyarthi, Anjali Patil",,
Kisna: The Warrior Poet,2005,Hindi,"Drama, Romance",Mukta Arts Ltd,170,,Subhash Ghai,"Vivek Oberoi, Isha Sharvani, Antonia Bernath",21-01-2005,N/A
Ittefaq,2017,Hindi,"Crime, Thriller, Mystery","Dharma Productions, Red Chillies Entertainment, B.R. Studios",107,"36,74,00,000",Abhay Chopra,"Akshaye Khanna, Sidharth Malhotra, Sonakshi Sinha",03-11-2017,UA
Pyaar Impossible!,2010,Hindi,"Comedy, Romance",Yash Raj Films,140,,Jugal Hansraj,"Priyanka Chopra Jonas, Uday Chopra, Advika Yadav",08-01-2010,U
Yeh Hai India,2019,Hindi,,,,,,,,
Mrs. Chatterjee vs Norway,2023,Hindi,"Drama, Thriller","Zee Studios, Emmay Entertainment, Cuba Films",135,,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattva Mazumdar",17-03-2023,N/A
Shiddat,2021,Hindi,"Romance, Drama","Maddock Films, T-Series",146,,Kunal Deshmukh,"Mohit Raina, Radhikka Madan, Sunny Kaushal",,
Khamoshiyan,2015,Hindi,"Drama, Horror",Vishesh Films,122,,Karan Darra,"Sapna Pabbi, Ali Fazal, Gurmeet Choudhary",30-01-2015,A
Dhokha: Round D Corner,2022,Hindi,"Crime, Thriller",T-Series,108,,Kookie Gulati,"R. Madhavan, Aparshakti Khurana, Khushali Kumar",23-09-2022,UA
Shorgul,2016,Hindi,Drama,,132,,Jitendra Tiwari,"Jimmy Shergill, Ashutosh Rana, Eijaz Khan",01-07-2016,UA
Batti Gul Meter Chalu,2018,Hindi,"Comedy, Drama","Krti Pictures, T-Series, Abundantia Entertainment, Friday Filmworks, Plan C Studios, Viiking Media & Entertainment",161,"59,28,50,000",Shree Narayan Singh,"Shahid Kapoor, Shraddha Kapoor, Yami Gautam",21-09-2018,UA
Yakeen,2005,Hindi,"Action, Thriller",,116,,Girish Dhamija,"Arjun Rampal, Priyanka Chopra Jonas, Kim Sharma",16-06-2005,N/A
Arjun Patiala,2019,Hindi,"Comedy, Romance","Maddock Films, T-Series, Bake My Cake Films",107,,Rohit Jugraj,"Diljit Dosanjh, Kriti Sanon, Varun Sharma",19-07-2019,UA
Babuji Ek Ticket Bambai,2017,Hindi,Drama,Harikripa Films,0,,Arvind Tripathi,"Rajpal Yadav, Sudha Chandran, Bhappi Sonie",07-07-2017,N/A
G Kutta Se,2017,Hindi,Drama,SFE International,103,,Rahul Dahiya,"Rajveer Singh, Neha Chauhan, Nitin Pandit",16-06-2017,A
Once Upon a Time in Mumbaai,2010,Hindi,"Drama, Thriller, Crime",Balaji Motion Pictures,132,"1,58,65,00,000",Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut",30-07-2010,UA
Dehati Disco,2022,Hindi,Comedy,,0,,,"Ganesh Acharya, Ravi Kishan, Manoj Joshi",27-05-2022,N/A
Ata Pata Laapata,2012,Hindi,,,,,,,,
Karle Pyaar Karle,2014,Hindi,"Action, Romance",,110,,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur, Aham Sharma",,
Ramji Londonwale,2005,Hindi,"Comedy, Family, Drama",Motion Pictures Partners International,154,,Sanjay Dayma,"R. Madhavan, Samita Bangargi, Satish Shah",02-09-2005,U
Rab Ne Bana Di Jodi,2008,Hindi,"Comedy, Drama, Romance",Yash Raj Films,167,,Aditya Chopra,"Shah Rukh Khan, Vinay Pathak, Anushka Sharma",12-12-2008,U
Vishwaroopam,2013,Hindi,"Action, Thriller","Aascar Films, PVP Cinema, Raajkamal Films International",147,"1,41,95,00,000",Kamal Haasan,"Kamal Haasan, Rahul Bose, Andrea Jeremiah",07-02-2013,UA
Mission Mangal,2019,Hindi,"Drama, History","Cape Of Good Films, Fox Star Studios, Hope & Glory Pictures",133,"38,16,78,500",Jagan Shakti,"Vidya Balan, Akshay Kumar, Taapsee Pannu",15-08-2019,U
Main Mulayam Singh Yadav,2021,Hindi,,,148,,,Mahima Gupta,09-02-2021,UA
Jugjugg Jeeyo,2022,Hindi,"Comedy, Drama","Dharma Productions, Viacom18 Studios",148,,Raj Mehta,"Anil Kapoor, Neetu Singh, Varun Dhawan",24-06-2022,N/A
Santa Banta Pvt Ltd,2016,Hindi,"Action, Comedy",,112,,Akashdeep Saigal,"Boman Irani, Vir Das, Neha Dhupia",22-04-2016,N/A
Mr Ya Miss,2005,Hindi,Comedy,"Horseshoe Pictures, RGV Film Factory",136,,Satchit Puranik,"Antara Mali, Riteish Deshmukh, Divya Dutta",02-12-2005,UA
Paltan,2018,Hindi,"War, Drama, Action","Zee Studios, J.P. Films",123,,J. P. Dutta,"Arjun Rampal, Jackie Shroff, Sonu Sood",07-09-2018,UA
Kaagaz,2021,Hindi,"Drama, Comedy","Salman Khan Films, The Satish Kaushik Entertainment",109,,Satish Kaushik,"Pankaj Tripathi, Amar Upadhyay, Monal Gajjar",,
Humpty Sharma Ki Dulhania,2014,Hindi,"Drama, Comedy, Romance",Dharma Productions,133,,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Ashutosh Rana",11-07-2014,UA
Daddy,2017,Hindi,"Crime, Drama, History","Karta Entertainment, Kundalini Entertainment",134,,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh, Shruti Bapna",08-09-2017,A
Bholaa,2023,Hindi,"Action, Adventure, Crime, Thriller","Dream Warrior Pictures, T-Series, Ajay Devgn FFilms, Reliance Entertainment, PVR Inox Pictures",144,,Ajay Devgn,"Ajay Devgn, Tabu, Deepak Dobriyal",30-03-2023,UA
Kajraare,2010,Hindi,"Romance, Drama, Crime",,112,,Pooja Bhatt,"Himesh Reshammiya, Sara Loren, Gulshan Grover",15-10-2010,N/A
Krishna,2006,Hindi,Animation,Prime,95,,,,,
Sumeru,2021,Hindi,,,95,,,,01-10-2021,N/A
Dabangg 2,2012,Hindi,"Action, Comedy, Crime","Arbaaz Khan Productions, Shree Ashtavinayak Cine Vision",125,"1,13,97,75,000",Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan",21-12-2012,UA
Ribbon,2017,Hindi,"Drama, Family",Red Cart Films,106,,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas",03-11-2017,UA
Baar Baar Dekho,2016,Hindi,"Romance, Drama, Action","Excel Entertainment, Dharma Productions",141,"61,79,00,000",Nitya Mehra,"Sidharth Malhotra, Katrina Kaif, Hussina Raja",09-09-2016,UA
Rock On 2,2016,Hindi,"Music, Drama","Eros International, Excel Entertainment",143,,Shujaat Saudagar,"Farhan Akhtar, Arjun Rampal, Purab Kohli",11-11-2016,U
Pehli Nazar Ka Pyaar,2008,Hindi,Romance,,140,,Arshad Khan,"Vikas Anand, Sweety Chhabra, Farida Dadi",04-11-2008,N/A
B.A. Pass 3,2021,Hindi,,,0,,,,,
Life Ki Toh Lag Gayi,2012,Hindi,Comedy,,155,,Rakesh Mehta,"Kay Kay Menon, Ranvir Shorey, Pradhuman Singh",20-04-2012,N/A
Pad Man,2018,Hindi,"Comedy, Drama","Hari Om Entertainment, Columbia Pictures, Sony Pictures Films India, Sony Pictures International Productions, CP Film Production Asia, Hope Productions",140,"83,50,00,000",R. Balki,"Akshay Kumar, Radhika Apte, Sonam Kapoor Ahuja",09-02-2018,UA
Super Nani,2014,Hindi,"Family, Drama",,133,,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor",31-10-2014,UA
Darran Chhoo,2023,Hindi,Comedy,Mark Movies,0,,Bharat Ratan,"Smriti Kalra, Karan Patel, Manoj Joshi",13-10-2023,N/A
Kaminey,2009,Hindi,"Action, Crime, Drama","UTV Motion Pictures, Vishal Bhardwaj Pictures",135,"75,15,00,000",Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra Jonas, Amole Gupte",14-08-2009,A
Sachin: A Billion Dreams,2017,Hindi,"Documentary, Drama",200 NotOut Productions,139,,James Erskine,"Sachin Tendulkar, Anjali Tendulkar, Mayuresh Pem",26-05-2017,U
Manikarnika: The Queen of Jhansi,2019,Hindi,"History, Drama, Action","Kairos Kontent Studios, Zee Studios",148,"1,46,12,50,000",Kangana Ranaut,"Kangana Ranaut, Danny Denzongpa, Suresh Oberoi",25-01-2019,UA
Khatta Meetha,2010,Hindi,"Comedy, Drama",Hari Om Entertainment,155,"62,62,50,000",Priyadarshan,"Akshay Kumar, Trisha Krishnan, Rajpal Yadav",23-07-2010,U
Ishq Ke Parindey,2015,Hindi,"Music, Romance",,0,,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Azad",24-04-2015,N/A
Sakshi,2021,Hindi,,,,,,,,
Luck,2009,Hindi,"Action, Thriller, Drama, Adventure","Shree Ashtavinayak Cine Vision, The Indian Film Company",130,"50,10,00,000",Soham Shah,"Sanjay Dutt, Mithun Chakraborty, Danny Denzongpa",24-07-2009,UA
Drishyam,2015,Hindi,"Crime, Mystery, Thriller","Panorama Studios, Viacom18 Studios",163,"38,41,00,000",Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran",31-07-2015,UA
Alone,2015,Hindi,"Drama, Thriller",Causeway Films,11,,Erin Good,,,
Chal Guru Ho Ja Shuru,2015,Hindi,,,0,,Manoj Sharma,"Vrajesh Hirjee, Brijendra Kala, Sanjay Mishra",30-01-2015,N/A
Bhoothnath Returns,2014,Hindi,"Comedy, Drama, Fantasy",T-Series,152,,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani",11-04-2014,U
Ek Villain,2014,Hindi,"Romance, Action, Crime, Thriller",Balaji Motion Pictures,129,,Mohit Suri,"Riteish Deshmukh, Sidharth Malhotra, Shraddha Kapoor",27-06-2014,UA
Fukrey,2013,Hindi,"Comedy, Drama, Romance",Excel Entertainment,137,"18,37,00,000",Mrighdeep Singh Lamba,"Pulkit Samrat, Varun Sharma, Manjot Singh",14-06-2013,UA
Mashooka[7],2005,Hindi,,,,,,,,
It's a Man's World,2010,Hindi,,,,,,,,
Yours Truly,2019,Hindi,Drama,"Platoon One Films, Basabaari Talkies, MDC Filmworks",84,,Sanjoy Nag,"Soni Razdan, Pankaj Tripathi, Mahesh Bhatt",20-01-2019,N/A
Joram,2023,Hindi,"Adventure, Crime, Drama, Thriller","Makhijafilm Private Limited, Zee Studios",117,,Devashish Makhija,"Manoj Bajpayee, Tannishtha Chatterjee, Mohammed Zeeshan Ayyub",08-12-2023,UA
Kaho Na Kaho,2014,Hindi,,,,,,,,
Bodyguard,2011,Hindi,"Drama, Action, Romance","Reel Life Productions, Reliance Entertainment, Funky Buddha Productions",134,,Siddique,"Salman Khan, Kareena Kapoor Khan, Hazel Keech",31-08-2011,UA
Maharathi,2008,Hindi,Thriller,,119,,Shivam Nair,"Paresh Rawal, Neha Dhupia, Tara Sharma",,
Gulaal,2009,Hindi,"Crime, Drama",Zee Limelight,147,"4,09,15,000",Anurag Kashyap,"Raj Singh Chaudhary, Kay Kay Menon, Abhimanyu Singh",,
Humko Deewana Kar Gaye,2006,Hindi,"Drama, Romance",,152,,Raj Kanwar,"Akshay Kumar, Anil Kapoor, Bipasha Basu",14-04-2006,A
Bangistan,2015,Hindi,"Comedy, Drama","Excel Entertainment, Junglee Pictures",135,"30,06,00,000",Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat, Rajesh Sharma",07-08-2015,UA
5 Weddings,2018,Hindi,"Drama, Comedy, Romance",UniGlobe Entertainment,94,,Namrata Singh Gujral,"Nargis Fakhri, Rajkummar Rao, Soha Ali Khan",26-10-2018,UA
M.S. Dhoni: The Untold Story,2016,Hindi,Drama,"Fox Star Studios, Inspired Entertainments, Friday Filmworks",190,,Neeraj Pandey,"Sushant Singh Rajput, Anupam Kher, Disha Patani",30-09-2016,U
Fan,2016,Hindi,"Action, Adventure, Thriller","Red Chillies Entertainment, Yash Raj Films, Prime Focus",138,"1,06,46,25,000",Maneesh Sharma,"Shah Rukh Khan, Deepika Amin, Yogendra Tiku",14-04-2016,UA
Hate Story,2012,Hindi,"Drama, Thriller",BVG Films,140,"10,85,50,000",Vivek Agnihotri,"Paoli Dam, Gulshan Devaiah, Saurabh Dubey",20-04-2012,A
Jawani Diwani: A Youthful Joyride,2006,Hindi,"Romance, Comedy",,111,,Manish Sharma,"Emraan Hashmi, Hrishitaa Bhatt, Mahesh Manjrekar",06-01-2006,UA
Allah Ke Banday,2010,Hindi,Drama,,123,,Faruk Kabir,"Sharman Joshi, Faruk Kabir, Naseeruddin Shah",26-11-2010,N/A
Sooper Se Ooper,2013,Hindi,Comedy,Reliance Entertainment,0,,Shekhar Ghosh,"Tinnu Anand, Mahesh Balraj, Mithilesh Chaturvedi",25-10-2013,U
Collar Bomb,2021,Hindi,"Crime, Thriller",Yoodlee Films,86,,Dnyanesh Zoting,"Jimmy Shergill, Asha Negi, Rajshri Deshpande",,
Teen Thay Bhai,2011,Hindi,"Comedy, Drama",,125,,Mrighdeep Singh Lamba,"Om Puri, Deepak Dobriyal, Shreyas Talpade",15-04-2011,N/A
Ok Jaanu,2017,Hindi,"Drama, Romance","Madras Talkies, Dharma Productions",135,,Shaad Ali,"Aditya Roy Kapur, Shraddha Kapoor, Leela Samson",12-01-2017,UA
Half Girlfriend,2017,Hindi,"Romance, Drama",Balaji Motion Pictures,135,"62,16,57,500",Mohit Suri,"Arjun Kapoor, Shraddha Kapoor, Rhea Chakraborty",18-05-2017,UA
Love Aaj Kal,2009,Hindi,"Comedy, Drama, Romance","Eros International, Illuminati Films Pvt Ltd",128,"1,04,37,50,000",Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor",31-07-2009,UA
Namastey London,2007,Hindi,"Comedy, Drama, Romance","Blockbuster Movie Entertainers, Ultra Media & Entertainment [IN], Namastey London Productions Limited, Eros International",131,,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor",23-03-2007,UA
Hattrick,2007,Hindi,"Romance, Comedy, Drama",,110,,Milan Luthria,"Nana Patekar, Paresh Rawal, Rimi Sen",16-03-2007,N/A
Rocky Aur Rani Kii Prem Kahaani,2023,Hindi,"Comedy, Drama, Family, Romance","Dharma Productions, Viacom18 Studios",179,,Karan Johar,"Alia Bhatt, Ranveer Singh, Jaya Bachchan",28-07-2023,UA
Jab We Met,2007,Hindi,"Drama, Comedy, Romance",Shree Ashtavinayak Cine Vision,138,"19,20,50,000",Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora",26-10-2007,U
Ra.One,2011,Hindi,"Adventure, Action, Science Fiction","Red Chillies Entertainment, Eros International, Prime Focus",156,"2,00,40,00,000",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor Khan",26-10-2011,U
MLA,2012,Hindi,Documentary,,27,,Leon Rizmaul,,,
Filmistaan,2014,Hindi,Comedy,,117,,Nitin Kakkar,"Sharib Hashmi, Kumud Mishra, Gopal Datt",06-06-2014,N/A
A Gentleman,2017,Hindi,"Action, Comedy","Fox Star Studios, Prime Focus",132,,Raj Nidimoru,"Sidharth Malhotra, Jacqueline Fernandez, Suniel Shetty",25-08-2017,UA
New York,2009,Hindi,"Crime, Drama, Thriller","Yash Raj Films, Sri & Company",153,,Kabir Khan,"John Abraham, Neil Nitin Mukesh, Katrina Kaif",26-06-2009,N/A
Kings of Devon,2010,Hindi,,,,,,,,
