Title,Year,Language,Run_Time_mins,Genre
Padmashree Laloo Prasad Yadav,2005,Hindi,,
NH-8 Road to Nidhivan,2015,Hindi,,
Do Knot Disturb,2009,Hindi,126,Comedy
My Father Iqbal,2016,Hindi,,
Satyameva Jayate 2,2021,Hindi,138,"Action,Crime"
Operation Romeo,2022,Hindi,,
Phir Se...,2018,Hindi,,
Bhoot Returns,2012,Hindi,85,"Horror,Mystery"
Wake Up Sid,2009,Hindi,138,"Comedy,Drama"
Haddi,2023,Hindi,,
Shor in the City,2011,Hindi,112,Crime
The Japanese Wife,2010,Hindi,105,Drama
Kaalakaandi,2018,Hindi,,
Chaar Din Ki Chandni,2012,Hindi,,
Babloo Happy Hai,2014,Hindi,,
Evening Shadows,2019,Hindi,,
Mummy Punjabi,2011,Hindi,,
Murder 2,2011,Hindi,127,"Action,Crime,Drama,Horror"
Ram Ki Janmabhoomi,2019,Hindi,,
Salaam Venky,2022,Hindi,137,
Chamku,2008,Hindi,105,"Action,Crime"
1920: The Evil Returns,2012,Hindi,,
Welcome Back,2015,Hindi,152,"Action,Comedy,Crime"
Satrangee Parachute,2011,Hindi,,
Banjo,2016,Hindi,137,Drama
Beehad - The Ravines,2013,Hindi,,
PK,2014,Hindi,153,"Comedy,Drama,Musical"
Good Newwz,2019,Hindi,134,Comedy
Project Marathwada,2016,Hindi,110,
B.A. Pass,2013,Hindi,95,"Crime,Drama"
Coffee with D,2017,Hindi,,
Pyaar Mein Twist,2005,Hindi,,
Dasvi,2022,Hindi,,
Ra.One,2011,Hindi,156,"Action,Sci-Fi"
Heyy Babyy,2007,Hindi,144,Comedy
Lage Raho Munna Bhai,2006,Hindi,144,"Comedy,Drama"
Humshakals,2014,Hindi,159,"Comedy,Drama"
Bank Chor,2017,Hindi,,
Partner,2007,Hindi,,
Mom,2017,Hindi,,
Veer,2010,Hindi,169,"Action,Adventure,Drama,Musical,Romance"
Sooryavanshi,2021,Hindi,145,"Action,Crime,Drama"
Khajoor Pe Atke,2018,Hindi,,
Ishqeria,2018,Hindi,,
Antardwand,2010,Hindi,,
Roohi,2021,Hindi,134,Comedy
Yuvvraaj,2008,Hindi,151,"Comedy,Drama,Musical"
Desi Kattey,2014,Hindi,,
Force,2011,Hindi,137,"Action,Crime,Drama"
Morning Raga,2005,Hindi,,
Aashayein,2010,Hindi,120,
Shaurya,2008,Hindi,149,"Crime,Drama"
Dhaakad,2022,Hindi,135,Action
Almost Pyaar with DJ Mohabbat,2023,Hindi,,
Gaslight,2023,Hindi,114,"Crime,Drama,Mystery,Romance"
Hawaizaada,2015,Hindi,,
Thoda Pyaar Thoda Magic,2008,Hindi,145,"Comedy,Drama,Family,Fantasy"
Teree Sang,2009,Hindi,,
Sukhee,2023,Hindi,139,Comedy
Happy New Year,2014,Hindi,,
Shabd,2005,Hindi,140,Drama
Masaan,2015,Hindi,109,
Prague,2013,Hindi,92,
Love Day - Pyaar Ka Din,2016,Hindi,,
Krrish,2006,Hindi,185,Action
Rang De Basanti,2006,Hindi,167,"Comedy,Crime"
Ugly,2014,Hindi,,
Being Cyrus,2006,Hindi,90,Drama
Jaane Kahan Se Aayi Hai,2010,Hindi,94,"Comedy,Drama,Fantasy"
Yun Hota Toh Kya Hota,2006,Hindi,,
Matto Ki Saikil,2022,Hindi,,
The Power,2021,Hindi,,
Chocolate,2005,Hindi,110,Action
Soni,2019,Hindi,,
Cirkus,2022,Hindi,139,Comedy
English Vinglish,2012,Hindi,134,"Comedy,Drama"
Jashnn,2009,Hindi,,
Student of the Year,2012,Hindi,146,"Comedy,Drama,Music,Romance"
Bekhudi,2021,Hindi,,
Helmet,2021,Hindi,,
Mumbai Godfather,2005,Hindi,,
Chal Chala Chal,2009,Hindi,138,"Action,Comedy,Crime"
Zindagi Jalebi,2013,Hindi,,
Hero,2015,Hindi,,
Hanuman: Da' Damdaar,2017,Hindi,,
3 Idiots,2009,Hindi,,
Mere Pyare Prime Minister,2019,Hindi,104,
